actor_id,has_target,country_id
BR-AL,False,BR
BR-AM,False,BR
BR-AP,False,BR
BR-BA,False,BR
BR-CE,False,BR
BR-DF,False,BR
BR-ES,False,BR
BR-GO,False,BR
BR-MA,False,BR
BR-MG,False,BR
BR-MS,False,BR
BR-MT,False,BR
BR-PA,False,BR
BR-PB,False,BR
BR-PE,False,BR
BR-PI,False,BR
BR-PR,False,BR
BR-RJ,False,BR
BR-RN,False,BR
BR-RO,False,BR
BR-RR,False,BR
BR-RS,False,BR
BR-SC,False,BR
BR-SE,False,BR
BR-SP,False,BR
BR-TO,False,BR
BS,False,BS
BS-AK,False,BS
BS-BI,False,BS
BS-BP,False,BS
BS-BY,False,BS
BS-CE,False,BS
BS-CI,False,BS
BS-CK,False,BS
BS-CO,False,BS
BS-CS,False,BS
BS-EG,False,BS
BS-EX,False,BS
BS-FP,False,BS
BS-GC,False,BS
BS-HI,False,BS
BS-HT,False,BS
BS-IN,False,BS
BS-LI,False,BS
BS-MC,False,BS
BS-MG,False,BS
BS-MI,False,BS
BS-NE,False,BS
BS-NO,False,BS
BS-NP,False,BS
BS-NS,False,BS
BS-RC,False,BS
BS-RI,False,BS
BS-SA,False,BS
BS-SE,False,BS
BS-SO,False,BS
BS-SS,False,BS
BS-SW,False,BS
BS-WG,False,BS
BT,False,BT
BT-11,False,BT
BT-12,False,BT
BT-13,False,BT
BT-14,False,BT
BT-15,False,BT
BT-21,False,BT
BT-22,False,BT
BT-23,False,BT
BT-24,False,BT
BT-31,False,BT
BT-32,False,BT
BT-33,False,BT
BT-34,False,BT
BT-41,False,BT
BT-42,False,BT
BT-43,False,BT
BT-44,False,BT
BT-45,False,BT
BT-GA,False,BT
BT-TY,False,BT
BW,True,BW
BW-CE,False,BW
BW-CH,False,BW
BW-FR,False,BW
BW-GA,False,BW
BW-GH,False,BW
BW-JW,False,BW
BW-KG,False,BW
BW-KL,False,BW
BW-KW,False,BW
BW-LO,False,BW
BW-NE,False,BW
BW-NW,False,BW
BW-SE,False,BW
BW-SO,False,BW
BW-SP,False,BW
BW-ST,False,BW
BY-BR,False,BY
BY-HM,False,BY
BY-HO,False,BY
BY-HR,False,BY
BY-MA,False,BY
BY-MI,False,BY
BY-VI,False,BY
BZ,False,BZ
BZ-BZ,False,BZ
BZ-CY,False,BZ
BZ-CZL,False,BZ
BZ-OW,False,BZ
BZ-SC,False,BZ
BZ-TOL,False,BZ
CA-AB,False,CA
CA-BC,True,CA
CA-MB,True,CA
CA-NB,True,CA
CA-NL,True,CA
CA-NS,True,CA
CA-NT,True,CA
CA-NU,False,CA
CA-ON,True,CA
CA-PE,True,CA
CA-QC,True,CA
CA-SK,False,CA
